,Brian,,,,Amy,,,
count,invexc,parens,gte,,invexc,parens,gte,
1,1.933,1.489,1.645667,,1.750167,1.3845,1.436667,
2,3.578667,2.6905,3.213,,3.265333,2.56,2.795,
3,5.146,3.996667,4.362333,,4.780333,3.709333,3.709333,
4,6.687333,5.2505,5.407333,,6.2955,4.832667,4.989333,
5,8.333,6.582833,6.687333,,7.732167,6.034167,6.191,
6,10.031,7.653833,7.915,,9.247333,7.235833,7.262,
7,11.781167,8.881667,9.247333,,10.7885,8.4375,8.489833,
8,13.426833,10.187667,10.605667,,12.251333,9.639167,9.378,
9,15.438333,11.546,12.199167,,14.053833,10.736333,10.527333,
10,17.580333,13.1395,13.7665,,15.4905,11.990167,11.807333,
11,19.591833,14.158333,15.072667,,17.005667,13.165667,13.191833,
12,21.315833,15.6735,16.222,,18.703667,14.315,14.811333,
13,22.987667,16.7705,17.946,,20.453833,15.438333,16.039167,
14,24.894667,18.2595,19.226,,22.178,16.7445,17.084,
15,26.801667,19.5395,20.5845,,24.111,17.867667,18.390167,
16,28.734667,20.558333,22.0735,,25.887333,18.991,19.722333,
17,31.216333,21.577167,24.4505,,27.559167,19.9575,21.002333,
18,32.862,23.275,25.887333,,29.204833,21.2375,22.674167,
19,35.239167,24.738,27.454667,,30.667667,22.386833,23.719167,
20,37.407333,25.809,29.387667,,32.261167,24.476667,25.338667,
21,39.8105,27.585333,31.346833,,34.586,25.809,26.1485,
22,41.5085,29.1265,32.888167,,36.362333,27.533,27.742,
23,43.546,30.955,34.063667,,38.191,29.309333,28.395,
24,45.5575,32.705333,35.082333,,40.306833,32.026,29.152667,
25,47.4905,33.933,36.3885,,41.482333,34.194167,30.302,
26,49.371333,34.298667,37.616333,,43.6245,36.231833,31.294667,
27,53.080833,34.8735,38.9485,,45.3485,38.008167,32.261167,
28,52.453833,36.519167,40.306833,,47.2555,39.915,33.28,
29,54.5175,37.590167,41.900333,,48.5355,41.560833,35.186833,
30,56.711833,39.340333,43.441667,,50.2595,41.900333,36.519167,
31,58.697167,41.665333,44.773833,,51.7485,42.7885,38.138667,
32,61.413833,42.5535,45.923167,,53.342,44.199167,41.769833,
33,64,44.721667,47.647333,,55.902,45.844833,43.4155,
34,65.933,45.244,48.927333,,57.756667,47.595,44.878333,
35,67.213,48.352667,50.285667,,58.827667,49.345333,46.132167,
